@relation churn-4000-v8_0.25

@attribute CreditScore[g][mv1.5][i] numeric
@attribute Geography[mv2] {France,Spain,Germany}
@attribute Gender[mv1.5] {Female,Male}
@attribute Age[c][mv2][i] numeric
@attribute Tenure[c][mv1.5][i] numeric
@attribute Balance[g][mv2] numeric
@attribute NumOfProducts[m][mv1.5][i] numeric
@attribute HasCrCard[mv2] {0,1}
@attribute IsActiveMember[g][mv1.5] {0,1}
@attribute EstimatedSalary[g][mv2] numeric
@attribute Exited[c][mv2] {0,1}

@data
543,France,Female,67,?,128843.67,1,?,1,134612.48,0
850,?,Female,57,8,126776.3,2,1,1,132298.49,0
?,?,Male,?,?,94078.97,?,1,0,36980.54,0
?,Germany,Female,?,0,171982.95,2,0,?,167313.07,0
?,?,?,?,9,95478.17,1,0,0,169286.74,0
781,?,Male,?,?,125023.1,2,?,?,108301.45,0
?,Spain,Male,?,3,175534.78,?,?,1,9241.52,0
673,Germany,Male,?,5,73088.06,2,0,0,196142.26,0
562,France,?,?,?,?,?,?,1,25858.68,0
699,Germany,Male,34,4,185173.81,2,?,0,120834.48,0
535,?,?,44,?,114427.86,1,?,?,136330.26,0
692,France,Male,69,?,154953.94,1,1,1,70849.47,0
804,France,Male,55,7,0,2,1,1,118752.6,0
736,France,?,43,4,?,1,1,1,?,0
?,France,Female,?,1,?,2,1,0,101778.9,0
713,France,?,36,8,133889.35,?,1,1,143265.65,0
584,France,?,28,10,0,2,1,?,?,0
676,?,Female,34,?,100359.54,1,?,0,46038.28,0
531,France,?,?,3,?,1,1,1,42589.33,0
604,Germany,Female,42,10,166031.45,1,1,0,98293.14,0
544,?,Male,22,?,0,?,1,0,70007.67,0
503,France,Male,29,?,0,2,?,1,143954.99,0
729,France,Male,34,?,?,1,1,0,?,0
704,?,Male,37,?,0,2,0,?,25684.93,0
594,?,?,38,10,0,?,?,0,58332.91,0
621,?,?,32,1,0,2,1,?,168779.47,0
554,Spain,Female,?,4,0,2,?,?,135083.73,0
791,France,Male,37,2,163789.49,2,1,0,75832.53,0
533,France,Female,35,8,0,2,?,?,187900.12,0
730,Spain,Male,62,2,0,2,1,1,186489.95,0
?,France,Male,30,2,87505.47,2,0,1,7278.57,0
499,?,Male,?,?,?,2,1,1,81409,0
617,Germany,Male,44,9,49157.09,2,?,0,53294.17,0
?,France,Male,?,2,138553.57,1,1,1,92406.22,0
789,France,?,31,4,?,?,1,1,172832.9,0
543,France,Female,36,3,?,?,0,0,26019.59,0
?,France,Male,?,0,?,2,0,?,?,0
795,France,Female,?,?,151844.64,1,1,1,135388.89,0
?,Spain,Female,?,3,99773.85,2,?,0,54865.92,0
786,Spain,Female,?,9,0,2,1,0,117034.32,0
649,France,Male,?,?,0,?,?,1,130567.02,0
776,France,Female,29,5,0,2,?,?,143301.49,0
565,France,Female,38,5,126645.13,?,1,1,168303.55,0
758,France,Female,?,?,0,?,1,1,?,0
?,France,Female,?,5,0,?,?,1,177099.71,0
542,France,Male,?,8,101116.06,1,?,0,196395.05,0
807,Spain,Female,43,0,0,?,0,1,85523.24,0
667,France,Male,23,1,0,2,?,0,91573.19,0
592,France,?,31,2,?,2,0,?,?,0
?,France,Male,35,4,148172.44,1,?,1,?,0
660,Spain,Female,61,5,155931.11,1,?,1,158338.39,0
?,Germany,Female,33,3,?,2,0,1,33330.89,0
669,Germany,Female,30,?,139872.81,1,1,0,?,0
671,France,Female,31,7,41299.03,1,0,1,102681.32,0
?,?,Female,38,3,0,2,?,1,?,0
444,France,Female,40,5,84350.07,1,1,?,143835.76,0
683,France,?,42,8,0,?,?,?,198134.9,0
690,Spain,Male,49,8,116622.73,1,0,1,51011.29,0
577,Spain,?,?,1,0,2,1,1,108787,0
?,France,Male,?,?,0,2,1,0,103287.62,0
648,?,Male,35,7,?,2,0,0,?,0
?,France,Female,27,4,?,1,1,0,104112,0
520,Spain,Male,45,7,107023.03,?,1,0,32903.93,0
575,France,Female,57,8,137936.94,?,?,1,84475.13,0
673,Spain,?,?,4,?,2,1,?,49684.09,0
585,Spain,Female,44,4,0,2,0,1,?,0
850,France,Male,?,4,0,1,?,1,180622.02,0
696,France,Female,25,8,126442.59,1,1,0,?,0
692,France,Male,28,5,61581.97,1,1,1,70179.91,0
757,France,?,28,3,75381.15,1,?,1,199727.72,0
630,?,Male,42,?,0,?,?,0,162697.93,0
688,?,Female,24,3,?,2,?,1,102195.16,0
540,Germany,?,64,1,91869.69,1,0,1,95421,0
695,?,Female,?,9,0,?,1,0,111565.45,0
?,France,Male,36,7,?,1,1,0,190588.59,0
500,Germany,?,44,9,160838.13,2,1,0,196261.64,0
?,?,?,33,6,0,?,1,0,?,0
596,?,?,29,6,0,2,1,?,116696.77,0
643,?,Male,39,7,0,2,1,?,170392.59,0
643,France,Male,33,?,0,2,1,1,?,0
717,France,Female,22,5,?,?,1,1,92977.75,0
803,?,Male,33,6,0,2,1,0,?,0
600,?,Male,32,1,0,1,1,1,?,0
672,France,?,?,6,91125.75,1,?,0,177295.92,0
663,France,?,?,?,0,?,?,?,136349.55,0
652,Spain,Male,28,?,?,2,1,?,198251.52,0
634,France,?,37,5,115345.86,2,?,0,168781.8,0
655,France,?,60,3,?,?,?,1,86981.45,0
?,France,?,50,?,0,?,?,0,57942.88,0
526,Germany,?,32,6,131938.92,2,1,?,1795.93,0
759,?,Male,41,?,?,?,?,1,190294.12,0
665,France,Male,35,8,?,1,1,0,169287.99,0
671,Spain,Female,42,?,?,2,1,?,?,0
720,France,Male,?,7,0,?,?,1,14781.12,0
693,France,Male,?,1,0,?,0,1,182270.88,0
?,France,Male,35,?,124616.23,?,1,1,69320.97,0
850,France,Male,32,4,156001.68,2,?,1,151677.31,0
?,?,?,?,9,93320.8,1,?,1,24489.44,0
735,France,Male,34,?,141796.43,?,1,0,?,0
712,?,?,49,5,154776.42,2,0,?,?,0
471,Germany,Male,23,6,104592.55,2,1,0,131736.23,0
554,?,Male,26,8,149134.46,?,1,1,177966.24,0
798,France,Male,28,3,0,2,1,0,2305.27,0
?,France,Male,29,0,59697.17,?,?,1,?,0
690,France,?,36,6,110480.48,1,0,0,?,0
746,France,Male,25,9,?,2,0,?,88728.47,0
657,Germany,Male,30,?,139762.13,2,1,1,23317.88,0
728,Germany,Female,33,9,150412.14,2,1,0,170764.08,0
?,?,?,28,?,?,?,1,1,185483.24,0
733,Spain,Female,32,5,?,2,?,?,131625.14,0
752,?,Female,36,3,0,?,1,1,48505.1,0
683,France,Male,30,?,57657.49,1,?,?,?,0
675,?,?,?,7,0,?,0,?,36267.21,0
705,Germany,Male,?,4,?,?,1,0,?,0
654,Spain,Female,?,2,0,2,1,1,146652.11,0
?,?,Female,56,?,139603.22,1,1,1,86383.61,0
?,France,?,29,?,118560.55,1,1,1,?,0
511,?,Female,29,9,0,2,?,1,?,0
634,Germany,?,35,6,116269.01,1,1,?,?,0
461,Germany,Female,?,5,63663.93,1,?,1,167784.28,0
?,France,Male,40,0,109542.29,1,1,1,166370.81,0
648,Spain,Female,?,5,?,2,1,1,?,0
?,?,Male,34,9,134464.58,2,?,0,178833.34,0
652,Spain,Male,58,6,0,2,0,1,?,0
670,Spain,?,42,?,81589.04,1,1,0,?,0
?,France,Female,32,5,0,2,0,1,75279.39,0
794,?,Male,35,6,0,2,1,1,?,0
720,Germany,Female,43,10,?,1,0,?,72861.94,0
596,France,Male,33,2,139451.67,1,?,0,63142.12,0
835,France,Female,56,2,0,2,1,1,?,0
850,?,Male,39,8,0,2,?,?,37090.44,0
654,France,?,42,?,99263.09,1,?,1,67607.9,0
645,Spain,Male,38,1,68079.8,1,0,1,166264.89,0
587,Germany,Female,38,0,132122.42,2,0,0,31730.32,0
572,Spain,Female,26,?,0,2,1,0,119381.41,0
568,France,Male,28,5,?,2,1,0,185489.11,0
788,France,Female,41,6,0,1,1,1,25571.37,0
649,Spain,Male,20,?,0,2,?,1,58309.54,0
652,Spain,Male,41,8,115144.68,?,1,?,188905.43,0
807,France,Male,33,?,101952.97,?,1,0,178153.65,0
542,France,?,?,?,109949.39,?,1,1,41268.65,0
521,France,Male,25,7,0,2,?,?,157878.67,0
550,France,Female,46,?,0,2,1,0,130590.35,0
697,?,Male,36,7,0,2,1,1,74760.32,0
?,?,?,33,7,0,?,1,1,?,0
?,?,Male,?,?,?,1,?,1,?,0
?,France,Female,46,?,98202.76,1,0,0,137763.93,0
?,Spain,Male,31,?,132862.59,1,0,?,?,0
850,France,?,?,3,0,2,1,1,?,0
?,France,Male,?,?,?,1,1,0,?,0
666,?,Female,?,?,0,?,?,1,?,0
785,France,Male,55,5,0,?,1,1,7008.65,0
689,Germany,Male,?,9,?,1,1,?,99490.01,0
676,Spain,Female,?,5,0,?,0,0,179066.58,0
697,Spain,Female,25,5,82931.85,2,1,1,128373.88,0
702,France,?,?,3,0,2,0,0,?,0
479,?,Male,?,4,125920.98,1,?,1,20393.44,0
713,Germany,Female,61,4,149525.34,2,1,?,?,0
641,Germany,Male,41,?,104405.54,3,1,0,17384.21,0
850,Spain,Male,38,2,94652.04,?,1,1,171960.76,0
756,France,Female,23,1,112568.31,1,1,1,?,0
?,Germany,Female,?,4,?,1,1,1,136603.42,0
564,France,?,26,7,84006.88,2,0,?,?,0
486,France,?,63,?,97009.15,1,1,1,?,0
812,Spain,Female,24,1,92476.88,1,?,0,83247.14,0
686,Spain,?,41,7,?,1,?,1,194913.86,0
?,France,Male,?,10,141556.96,?,?,0,130189.53,0
673,France,Male,47,1,0,?,0,0,108762.16,0
687,Spain,Female,40,1,0,2,1,0,8207.36,0
687,Spain,Male,35,?,?,2,1,1,176450.19,0
?,France,Male,29,10,?,2,1,?,12186.83,0
662,France,Female,38,2,96479.81,1,1,0,?,0
693,Germany,?,25,?,?,1,0,1,?,0
506,?,Male,?,8,?,1,0,1,?,0
?,Germany,Male,35,?,140691.08,2,1,0,167810.26,0
671,France,Female,?,6,0,2,?,?,?,0
690,Spain,Female,30,?,0,2,?,1,78700.03,0
?,?,?,49,8,103302.37,1,1,1,50974.57,0
766,France,Female,52,7,92510.9,?,?,1,?,0
746,Spain,?,?,10,68781.82,1,0,1,47997.39,0
663,?,?,39,4,0,1,?,0,76884.05,0
?,France,?,35,10,0,?,1,0,71594.26,0
689,?,Male,?,0,130170.82,2,1,0,150856.38,0
556,?,Male,38,2,115463.16,1,1,?,150679.65,0
724,Germany,Female,53,1,139687.66,?,1,?,?,0
791,France,?,28,4,0,1,1,0,174435.48,0
701,France,Female,35,2,0,2,1,1,65765.22,0
713,?,Male,41,?,?,2,1,0,55772.04,0
591,Germany,Female,35,?,90194.34,2,1,?,57064.57,0
668,Spain,Female,30,8,0,2,1,0,138465.7,0
?,France,?,36,0,0,2,1,?,?,0
640,?,Female,29,4,?,2,1,?,44904.26,0
721,?,Female,?,1,0,?,1,0,70810.8,0
565,?,?,?,?,130368.31,?,?,?,105642.43,0
646,France,Female,46,8,0,2,1,0,133059.15,0
594,Germany,?,40,?,152092.44,2,1,1,83508.93,0
579,France,Male,?,?,0,2,0,1,39891.84,0
636,France,?,43,6,0,2,?,0,43128.95,0
800,Spain,Male,38,9,0,1,1,0,78744.39,0
727,Germany,Female,30,8,119027.28,2,1,1,137903.54,0
?,France,?,?,4,0,?,1,1,67879.8,0
?,Germany,Female,44,?,141428.99,?,?,0,68408.74,0
790,?,?,31,?,151290.16,1,1,1,172437.12,0
724,France,Female,37,10,68598.56,1,?,?,157862.82,0
?,France,?,42,1,0,1,0,?,168486.02,0
637,Spain,Male,37,8,?,?,1,1,186062.36,0
?,Germany,?,?,8,?,1,1,0,129697.99,0
682,France,Female,?,?,?,1,?,1,66040.83,0
470,?,Male,39,5,117469.91,2,?,?,63705.9,0
503,?,Female,36,9,0,2,1,1,16274.67,0
774,?,Female,36,9,114997.42,1,1,0,75304.09,0
602,?,Female,72,?,0,?,?,?,171260.66,0
?,Germany,Male,?,?,130809.77,?,1,0,152290.28,0
?,Spain,Male,?,10,?,1,0,0,158336.36,0
?,Spain,Male,24,8,143582.89,?,1,1,22527.27,0
687,France,Male,38,9,122570.87,?,?,1,35608.88,0
?,France,Female,44,7,0,2,1,?,66548.58,0
624,France,Female,?,?,79368.87,2,1,1,145471.94,0
549,France,?,29,8,0,2,1,?,189558.44,0
748,France,?,?,4,115221.36,1,0,1,70956.75,0
585,Germany,?,44,?,163867.86,?,1,1,112333.22,0
?,France,?,73,9,0,1,?,1,114283.33,0
?,Germany,Male,37,8,73179.34,2,1,?,?,0
496,Spain,Female,?,?,0,2,0,1,199505.53,0
645,France,Male,45,6,155417.61,1,0,1,?,0
667,Spain,Female,36,3,121542.57,?,?,1,186841.71,0
628,Germany,Female,51,9,155903.82,2,1,1,71159.84,0
632,?,Male,43,2,100013.51,1,?,0,24275.32,0
507,Spain,?,29,6,0,?,?,?,94780.9,0
618,France,Female,?,7,128736.39,?,0,1,37147.61,0
?,Spain,?,44,5,?,2,1,?,66462.79,0
668,France,Male,32,?,?,2,1,1,777.37,0
?,France,Female,31,?,?,?,1,1,112349.51,0
802,Spain,Male,41,6,?,2,1,0,47322.05,0
?,France,Female,36,8,109106.8,1,0,0,121311.12,0
?,France,?,36,7,0,2,0,1,?,0
?,Germany,Female,40,2,?,2,1,0,93795.86,0
?,France,Male,45,7,118626.55,2,1,0,147132.46,0
?,?,Male,25,1,124532.78,?,0,1,11723.57,0
632,Germany,?,41,3,81877.38,1,1,1,?,0
593,France,Male,32,6,99162.29,1,?,0,128384.11,0
?,Spain,Female,?,5,174180.39,?,1,0,119830.08,0
763,Germany,?,61,?,66101.89,1,1,1,143981.27,0
?,Spain,Female,37,1,136689.66,1,?,0,197890.65,0
686,France,Female,43,0,?,1,1,1,?,0
637,?,Male,32,3,0,2,?,1,197827.06,0
640,?,Male,33,?,81677.22,2,0,0,?,0
717,France,Male,38,7,0,2,?,1,158580.05,0
730,France,?,?,?,?,?,1,0,138882.98,0
691,France,?,40,0,115465.98,?,1,1,60622.61,0
755,?,?,23,5,84284.48,2,1,1,?,0
?,Germany,?,43,2,69014.49,2,0,0,?,0
649,Spain,Female,32,?,0,?,?,0,28797.32,0
623,France,Female,?,4,0,?,1,0,41227.67,0
775,Spain,Male,?,10,0,?,1,1,68143.93,0
?,France,Female,45,9,105525.65,2,1,?,?,0
663,France,Male,34,10,0,?,?,1,114083.73,0
647,?,?,?,0,98263.46,?,1,0,164717.95,0
570,Spain,Male,34,10,0,2,0,1,183387.12,0
?,Germany,Male,?,9,110112.54,?,0,?,81898.81,0
775,Germany,Male,33,3,83501.66,?,1,0,128841.31,0
556,France,Male,?,8,163757.06,?,1,1,104000.06,0
?,Spain,Male,28,8,134766.85,1,1,0,79355.87,0
698,Germany,Female,36,?,121263.62,1,1,?,13387.88,0
?,France,?,33,9,?,1,1,0,?,0
629,Spain,?,32,?,0,2,?,1,?,0
?,?,Male,43,7,?,1,1,0,194691.95,0
676,?,?,30,?,128207.23,1,1,?,55400.17,0
769,France,?,?,?,123757.52,2,1,0,?,0
512,France,Female,75,2,0,1,1,0,123304.62,0
540,?,Male,35,7,127801.88,1,?,1,84239.46,0
?,?,Male,31,?,?,?,1,?,196395.25,0
660,France,Female,?,5,110570.78,2,1,?,?,0
680,France,Female,47,5,?,2,1,?,179843.33,0
?,Germany,Male,29,?,?,?,?,1,?,0
454,Spain,Female,48,?,144837.79,?,1,1,?,0
?,France,Female,43,?,0,2,1,1,109041.53,0
537,Spain,?,?,1,103138.17,1,1,1,96555.42,0
647,?,Male,28,6,149594.02,2,?,?,102325.19,0
602,Spain,Male,30,?,113672.18,2,0,?,102135.92,0
710,?,Male,33,1,?,?,1,0,168313.17,0
584,France,Male,38,1,115341.55,1,0,?,?,0
723,France,?,49,4,0,2,0,1,89972.25,0
684,Germany,Male,35,3,99967.76,?,1,?,176882.08,0
463,Spain,?,20,8,204223.03,1,1,0,?,0
713,France,Female,25,4,?,1,?,1,56268.98,0
712,France,?,23,2,?,2,0,?,?,0
491,France,Female,?,?,107571.61,1,0,?,113695.99,0
684,?,Female,?,3,103210.27,1,?,0,31002.03,0
720,France,Female,34,?,118307.57,2,?,1,?,0
?,France,Male,28,8,?,2,1,1,64286.39,0
667,France,?,34,5,0,?,1,1,102908.63,0
755,?,Male,34,3,0,2,1,1,158816.03,0
727,France,Male,62,5,?,2,?,1,38652.96,0
637,France,Male,60,3,0,?,1,?,70174.03,0
593,France,?,50,?,171740.69,1,0,?,20893.61,0
698,?,?,40,?,150777.1,1,1,0,114732.62,0
575,Spain,Male,30,?,0,2,1,1,82222.86,0
?,Spain,?,?,8,129968.67,1,?,1,11830.53,0
618,?,Female,?,0,0,?,1,?,?,0
?,France,?,61,5,0,?,?,1,29132.43,0
617,France,Female,34,0,131244.65,2,?,?,?,0
666,France,?,46,5,123873.19,1,1,?,177844.06,0
850,France,?,38,7,?,1,0,?,?,0
671,France,Male,45,2,106376.85,?,?,?,158264.62,0
?,?,Female,33,2,83415.04,1,?,?,74917.64,0
593,?,?,44,5,0,1,1,0,?,0
762,Spain,Male,?,9,122929.42,2,?,0,?,0
778,?,Male,?,3,141803.77,1,0,?,179421.84,0
616,France,?,31,1,?,2,1,1,54706.75,0
543,Germany,Male,49,6,59532.18,1,1,0,104253.56,0
681,Germany,Female,48,8,?,1,1,1,163581.67,0
755,?,Female,29,3,?,3,1,0,4733.94,0
?,France,Male,?,?,0,2,1,1,145338.61,0
?,France,?,35,5,147813.05,2,?,0,109029.72,0
686,France,Male,26,7,?,2,1,0,1540.89,0
?,Germany,Male,23,8,73314.04,2,1,?,63446.47,0
780,?,Male,34,1,?,?,1,1,64804.04,0
?,?,?,?,7,106957.28,1,?,?,134794.02,0
577,Germany,Female,59,7,111396.97,1,?,?,191070.01,0
560,?,Female,33,?,0,?,?,1,183358.21,0
807,France,Female,36,4,0,2,0,1,147007.33,0
773,?,Male,51,8,116197.65,2,?,1,86701.4,0
730,France,Female,?,?,148749.29,2,1,?,91830.75,0
679,Germany,Male,35,1,?,2,1,?,37341.17,0
719,Germany,Female,76,?,?,1,1,0,176244.87,0
738,Germany,?,?,?,140950.92,2,1,0,195333.98,0
593,France,Female,39,0,117704.73,?,1,0,?,0
737,France,?,?,8,0,?,?,0,106390.01,0
620,Spain,Female,43,2,?,2,?,0,20670.1,0
?,France,Male,34,3,?,2,?,?,55816.2,0
?,Germany,Male,?,2,120135.55,2,?,1,125449.47,0
794,France,Male,?,10,?,1,?,1,88992.05,0
513,?,Female,42,10,0,?,?,1,73151.25,0
?,?,?,?,2,?,?,1,1,121945.42,0
486,Germany,Male,37,?,115217.99,2,1,0,?,0
593,?,Male,43,10,0,2,?,0,?,0
543,?,Male,64,4,0,2,1,1,?,0
850,?,Female,41,3,99945.93,2,1,0,?,0
756,Germany,Female,?,5,149363.12,?,1,?,109098.39,0
555,France,?,?,8,102000.17,1,1,?,116757,0
749,France,?,41,5,?,1,?,1,61128.29,0
611,France,Male,38,4,71018.6,2,1,0,2444.29,0
803,France,Female,65,2,151659.52,2,0,1,6930.17,0
462,?,Male,27,?,176913.52,1,?,0,80587.27,0
608,Spain,Male,66,8,123935.35,1,1,1,65758.19,0
663,?,Female,39,8,0,2,1,1,?,0
710,Spain,Female,29,3,119670.18,1,1,0,188022.44,0
735,Spain,Male,34,5,0,2,0,0,71095.41,0
753,France,Female,38,?,?,1,0,1,33730.43,0
?,?,?,19,1,138657.08,1,1,1,?,0
518,France,Male,38,?,90957.81,1,0,1,162304.59,0
518,Germany,Female,35,8,141665.63,1,0,1,192776.64,0
604,Spain,Male,43,2,145081.72,1,1,1,23881.62,0
?,France,Male,45,4,0,2,1,?,?,0
637,France,Male,33,2,145731.83,1,0,?,109219.43,0
674,Germany,Female,?,4,?,1,0,1,22026.18,0
641,France,Female,53,?,123835.52,2,0,?,160110.65,0
591,France,Female,39,4,150500.64,1,1,0,14928.8,0
741,Spain,?,42,9,121056.63,?,?,0,?,0
736,?,Male,32,7,0,1,0,1,79082.62,0
485,?,?,?,?,134467.26,?,1,?,?,0
708,Germany,Male,32,?,?,2,1,1,172810.51,0
700,France,Female,?,6,?,?,0,0,8996.79,0
667,France,Female,48,?,0,?,1,?,148608.39,0
580,Germany,Male,?,?,179334.83,2,1,?,169303.65,0
655,?,Female,26,7,106198.5,?,?,?,?,0
648,Germany,Male,33,?,138664.24,?,?,0,29076.27,0
667,Spain,Male,35,?,97585.32,2,0,?,57213.46,0
452,France,Female,35,8,0,2,1,?,149614.81,0
?,Spain,Female,?,?,94684.27,?,1,?,?,0
535,?,Female,27,?,0,2,0,1,?,0
729,France,Female,32,7,?,1,0,1,179230.23,0
609,Germany,?,31,?,103837.75,?,1,?,150218.11,0
561,France,?,49,8,0,2,1,1,?,0
623,Spain,?,44,1,83325.77,1,?,1,?,0
?,France,Male,?,2,0,2,?,1,180553.48,0
523,France,Male,22,?,?,1,1,1,124906.59,0
686,France,Male,37,?,134560.62,1,1,0,?,0
571,France,Female,?,6,107193.82,2,0,0,?,0
?,France,Male,35,2,?,?,1,1,118113.64,0
628,?,?,45,?,?,1,1,0,115022.94,0
?,Spain,Female,44,8,0,1,0,1,159069.37,0
560,France,?,?,3,115141.18,1,1,0,39806.75,0
683,France,?,33,8,0,1,0,0,73564.44,0
709,France,?,24,3,110949.41,?,1,1,168515.61,0
510,?,Female,30,0,0,?,1,1,130553.47,0
793,France,Female,41,3,141806.46,?,?,?,?,0
?,France,?,?,3,146053.66,1,1,1,138344.7,0
600,France,Male,?,1,?,1,?,1,?,0
514,France,Male,?,8,0,2,1,0,95857.18,0
636,France,Male,34,8,0,2,1,0,38570.13,0
?,Germany,?,38,?,92219.21,?,1,0,99106.97,0
?,?,?,?,7,137555.44,1,0,0,?,0
596,?,Female,33,1,?,1,?,0,?,0
?,Spain,?,25,9,148042.97,2,1,0,52341.15,0
703,?,Male,36,7,135095.47,1,1,?,143859.66,0
549,France,Female,34,4,?,2,0,0,139463.57,0
575,?,Male,?,2,?,1,0,?,126307.25,0
?,Spain,Female,27,2,0,1,?,1,82938.99,0
?,France,?,?,?,0,2,?,0,168521.72,0
?,Germany,Female,37,6,?,1,0,?,54398.56,0
673,?,?,39,?,138160,?,1,?,?,0
?,?,Male,36,?,124445.52,1,?,?,88481.32,0
?,France,Male,40,6,156218.19,1,0,1,33607.72,0
?,France,Female,41,3,135756.96,1,1,1,103706.41,0
?,France,?,?,6,153880.15,1,0,?,135431.72,0
?,Spain,Female,44,3,139432.37,1,1,0,62222.81,0
?,France,Female,?,4,101629.3,1,0,?,?,0
796,Spain,Female,23,3,146584.19,2,0,?,?,0
715,France,Female,?,0,?,2,1,?,?,0
?,?,?,36,4,98266.3,1,1,1,46416.36,0
?,Germany,Female,37,8,149000.91,2,1,?,21472.42,0
792,Spain,Male,25,?,142862.21,1,1,1,?,0
?,France,?,37,5,?,2,1,1,127543.81,0
824,France,Male,45,?,129209.48,1,?,?,60151.77,0
?,France,?,32,6,0,?,1,1,150026.79,0
631,Spain,?,31,2,88161.85,?,1,0,127630.88,0
549,France,Female,46,7,0,1,1,?,?,0
?,France,Male,40,5,0,2,?,0,?,0
850,?,?,?,3,0,?,?,1,144385.54,0
638,?,Male,?,1,0,2,1,0,?,0
?,?,Female,36,?,91760.11,1,1,1,135784.94,0
633,Germany,?,43,?,144164.29,1,?,1,?,0
785,Germany,Female,?,6,127211.45,?,?,0,?,0
?,France,Male,?,7,0,2,1,0,20306.79,0
701,Germany,Male,23,?,?,2,1,?,76611.33,0
?,France,Male,36,6,0,2,1,?,?,0
701,France,Male,43,2,0,?,?,1,165303.79,0
?,?,Male,44,5,?,2,0,0,139297.71,0
850,France,Male,39,6,96863.13,?,1,1,121681.19,0
?,?,Male,23,?,?,2,?,1,104120.17,0
785,?,Female,36,2,99806.85,1,0,?,?,0
626,?,?,?,7,113014.7,2,1,1,56646.28,0
748,France,Male,32,5,?,2,1,1,?,0
?,France,Female,40,8,0,?,?,?,27689.77,0
732,?,Male,33,8,0,1,1,0,119882.7,0
591,France,Male,42,9,161651.37,2,1,?,?,0
?,Germany,?,?,?,?,?,?,0,23231.93,0
?,Germany,Male,42,8,131390.75,2,?,?,71178.09,0
693,France,Male,?,?,0,2,1,1,3494.02,0
767,Germany,?,?,?,?,?,?,1,132480.75,0
567,?,Male,35,?,153137.74,1,?,0,88659.07,0
619,Germany,?,33,3,?,2,0,1,36446.74,0
553,France,Male,?,?,0,2,1,0,?,0
496,France,Female,36,7,?,2,?,0,108098.28,0
725,Germany,Male,?,1,50880.98,2,?,1,?,0
648,Germany,Female,39,3,126935.98,2,?,?,?,0
771,France,Male,32,5,62321.62,1,1,1,?,0
794,France,?,46,?,0,2,?,0,195325.74,0
?,France,Female,39,5,0,2,?,0,118272.07,0
591,?,?,?,7,0,2,0,1,48778.46,0
629,France,?,31,?,0,?,?,0,?,0
?,?,Male,31,7,136658.61,?,?,1,148689.13,0
556,France,Male,35,10,0,2,?,?,192751.18,0
630,Spain,Male,?,4,?,1,0,0,?,0
?,Germany,Male,40,5,90594.55,?,0,1,181598.25,0
662,France,Male,32,?,0,2,0,0,65089.38,0
658,France,Male,31,5,100082.14,1,?,1,49809.88,0
690,?,Male,36,10,0,2,?,0,55902.93,0
?,France,Male,?,0,?,1,1,1,162599.51,0
528,Germany,?,32,2,?,?,0,?,111149.98,0
742,France,?,?,?,105239.1,1,1,1,19700.24,0
629,France,Male,?,1,172170.36,1,?,1,159777.37,0
850,Germany,?,47,4,99219.47,?,1,1,122141.13,0
695,Spain,Female,31,5,0,2,0,1,13998.88,0
?,France,Male,26,?,74681.9,?,0,0,31231.35,0
?,Spain,?,41,4,?,1,0,1,?,0
702,?,Male,34,4,100054.77,1,1,0,109496.45,0
554,France,?,?,2,129709.62,1,1,0,173197.12,0
622,?,Male,29,?,?,?,1,1,?,0
674,?,Female,39,6,?,2,1,1,9574.83,0
580,France,Male,34,6,0,?,1,1,160095.31,0
849,France,Male,35,4,110837.73,?,0,0,126419.8,0
?,Spain,Female,?,0,152760.24,?,1,1,48990.5,0
850,Germany,?,43,5,129305.09,?,?,1,19244.58,0
714,?,Female,36,?,101609.01,2,1,1,447.73,0
613,Spain,Male,19,?,0,1,1,?,176903.35,0
?,France,?,?,?,34547.82,1,1,1,11638.17,0
742,France,Female,25,4,132116.13,2,1,0,129933.5,0
?,France,?,?,5,95671.75,2,1,?,?,0
614,France,Female,19,5,?,?,?,?,122823.34,0
758,Spain,Male,?,2,0,?,?,1,43982.41,0
707,France,Male,42,2,16893.59,?,1,?,77502.56,0
642,France,?,40,1,?,1,1,?,138052.51,0
?,France,?,22,9,65763.57,?,?,1,145792.01,0
?,France,Female,31,5,0,1,0,0,?,1
559,Spain,Male,67,?,?,1,1,0,175910.95,1
758,France,Female,52,?,125095.94,?,1,?,171189.83,1
?,Germany,Male,51,?,96891.46,1,1,?,176403.33,1
606,France,Male,37,6,82373.94,1,?,?,172526.9,1
?,Germany,Female,37,3,125734.2,2,1,0,?,1
693,France,Male,?,8,178111.82,1,0,0,?,1
?,Germany,Male,40,9,154309.67,?,1,1,?,1
?,France,?,?,?,?,?,?,0,89891.4,1
643,?,Female,45,4,45144.43,?,1,0,60917.24,1
771,Spain,?,?,5,?,3,?,1,152479.64,1
502,France,Female,?,8,159660.8,3,1,0,113931.57,1
774,France,Male,60,5,?,1,?,0,?,1
714,France,Male,?,1,0,1,?,0,152167.79,1
?,?,Female,47,10,134381.52,1,0,0,26812.89,1
533,Germany,Female,49,1,?,3,1,0,69409.37,1
598,France,?,?,4,?,1,?,0,197727.14,1
541,?,Female,39,9,100116.67,?,1,1,199808.1,1
516,?,?,46,1,104947.72,?,1,0,115789.25,1
802,France,Female,?,?,92887.06,1,?,0,39473.63,1
520,France,?,46,10,85216.61,?,?,0,117369.52,1
